client_name,client_state,invoice_count,total_sales,avg_invoice,total_paid,total_due
BEAUTY TRENDZ WEST MEMPHIS- BEAUTY SUPPLY,AR,1,1406.00,1406.00,1406.00,0.00
Beauty & Beyond Beauty supply (AL2585),AL,1,1392.50,1392.50,1392.50,0.00
Hair city beauty supply (NC2605),NC,1,1353.20,1353.20,0.00,1353.20
Jim dandy beauty supply,KENTUCKY,1,1344.00,1344.00,1344.00,0.00
NYC3 beauty supply (OH3212),OH,1,1338.00,1338.00,1338.00,0.00
Unique Beauty Supply Gypsy Ln,OH,1,1329.00,1329.00,1329.00,0.00
Hair world,OH,1,1292.00,1292.00,1292.00,0.00
Kay beauty supply (MI7746),MI,1,1288.00,1288.00,1288.00,0.00
Diamond hair & beauty,OH,1,1254.00,1254.00,1254.00,0.00
Hair saga,OH,1,1200.00,1200.00,1200.00,0.00
Hair galleria (MO10940),MO,3,1198.00,399.33,814.00,384.00
BEAUTY QUEEN,GEORGIA,1,1197.00,1197.00,1197.00,0.00
HAIR ZONE BEAUTY SUPPLY,GEORGIA,1,1197.00,1197.00,1197.00,0.00
Hair World Canton,OH,1,1164.00,1164.00,1164.00,0.00
NEW BEAUTY,NC,2,1150.00,575.00,1150.00,0.00
BEAUTY WORLD BEAUTY SUPPLY,GEORGIA,1,1148.00,1148.00,1148.00,0.00
Hunt's Beauty Supply,IN,2,1145.00,572.50,1145.00,0.00
QUEENS BEAUTY SUPPLY,NC,1,1142.40,1142.40,1142.40,0.00
Queen beauty supply (GA204),GA,1,1125.00,1125.00,600.00,525.00
Baly beauty supply (NC1033),NC,1,1104.00,1104.00,1104.00,0.00
GATE 2 BEAUTY SUPPLY,GEORGIA,1,1052.00,1052.00,1052.00,0.00
Hollywood beauty supply 1,Missouri,2,1035.00,517.50,1035.00,0.00
Buy And save hair & beauty supply (AR926),AR,2,974.00,487.00,974.00,0.00
Beauty trendz beauty supply,KENTUCKY,2,964.00,482.00,964.00,0.00
UNIQUE HAIR & BEAUTY SUPPLY,NC,1,960.00,960.00,960.00,0.00
Save more hair & beauty (TX1702),TX,1,944.00,944.00,944.00,0.00
Images beauty supply,IL,2,940.00,470.00,940.00,0.00
Famous hair beauty supply #1,KENTUCKY,2,924.60,462.30,924.60,0.00
One Beauty Supply,OH,1,912.00,912.00,912.00,0.00
Unique Beauty Supply Kinsman Rd,OH,2,906.50,453.25,906.50,0.00
Andy's Hair and Beauty Supplies,OH,3,901.00,300.33,901.00,0.00
BEAUTY ZONE BEAUTY SUPPLY,MS,1,894.00,894.00,894.00,0.00
DISCOUNT BEAUTY OUTLET,AL,2,876.50,438.25,876.50,0.00
BEAUTY DIVA,ALABAMA,1,864.00,864.00,864.00,0.00
INFINITE BEAUTY,LOUISIANA,1,864.00,864.00,864.00,0.00
New York Beauty & Fashion,SC,1,864.00,864.00,864.00,0.00
The hair palace south side (VA443),VA,1,864.00,864.00,864.00,0.00
BEAUTY LAND,NC,2,860.00,430.00,860.00,0.00
Icon beauty,Missouri,1,849.00,849.00,849.00,0.00
A&A BEAUTY SUPPLY,OH,2,840.00,420.00,840.00,0.00
HOLLYWOOD BEAUTY SUPPLY 3,IL,1,828.00,828.00,828.00,0.00
Beauty & beyond (AR7509) ,AR,2,824.00,412.00,824.00,0.00
BLACK STAR BEAUTY SUPPLY 2,N. CAROLINA,1,800.00,800.00,800.00,0.00
Hunts Beauty Supply South Bend,IN,1,800.00,800.00,800.00,0.00
BEAUTY TRENDZ CRESTWOOD-BEAUTY SUPPLY,ALABAMA,1,790.00,790.00,790.00,0.00
Evergreen Market Building LLC,OH,1,786.00,786.00,786.00,0.00
Beauty master center ( SC4950),SC,1,750.00,750.00,750.00,0.00
IT'S AMAZING BEAUTY SUPPLY,GEORGIA,2,748.00,374.00,748.00,0.00
BLACK STAR BEAUTY SUPPLY,N. CAROLINA,1,724.00,724.00,724.00,0.00
EGO BEAUTY SUPPLY,N. CAROLINA,1,716.00,716.00,716.00,0.00
NYC BEAUTY,CAROLINA,1,716.00,716.00,716.00,0.00
ROYAL BEAUTY,MISSOURI,1,716.00,716.00,716.00,0.00
TWINS BEAUTY SUPPLY,N. CAROLINA,1,716.00,716.00,716.00,0.00
Jennah beauty supply (OH8537),OH,1,700.00,700.00,0.00,700.00
Danny’s Hair & Beauty Garfield,OH,1,660.00,660.00,660.00,0.00
ADORIA BEAUTY CENTERS,N. CAROLINA,1,654.00,654.00,654.00,0.00
Zuri Beauty Supply,IN,1,621.00,621.00,621.00,0.00
Julia Wireless & Beauty Supplies,OH,1,594.00,594.00,594.00,0.00
Luxe Beauty Supply outlet,OH,1,576.00,576.00,576.00,0.00
PARADISE BEAUTY 4,MISSOURI,1,543.75,543.75,543.75,0.00
FIVE STAR BEAUTY & GALLERY,LOUISIANA,1,527.75,527.75,527.75,0.00
Beauty & beyond beauty supply (AL2762),AL,1,500.00,500.00,500.00,0.00
Jin wig & beauty supply (MI19045),MI,1,494.50,494.50,494.50,0.00
HAIRCASA BEAUTY SUPPLY,N. CAROLINA,1,492.00,492.00,0.00,492.00
Beauty central (MI35150,MI,1,476.50,476.50,476.50,0.00
SUPER PLATINUM BEAUTY,ALABAMA,1,468.00,468.00,468.00,0.00
Peach beauty & fashion (IL1603),IL,1,454.00,454.00,454.00,0.00
Prince beauty supply (MO7007),MO,1,450.00,450.00,450.00,0.00
George hair & beauty supply Randall,OH,1,444.00,444.00,444.00,0.00
Hair galleria (TN1070),TN,1,420.00,420.00,420.00,0.00
THE HAIR DEPOT,TEXAS,1,420.00,420.00,420.00,0.00
Sam’s Beauty World,OH,1,390.00,390.00,390.00,0.00
Supreme hair & beauty 3 (AR5917),AR,1,390.00,390.00,390.00,0.00
Tony's hair and beauty supplies,OH,2,386.00,193.00,386.00,0.00
Dollar mania (LA758),LA,1,360.00,360.00,360.00,0.00
BEAUTY & BEYOND BEAUTY SUPPLY,AL,1,336.00,336.00,336.00,0.00
DISCOUNT BEAUTY OUTLET 2,AL,1,300.00,300.00,300.00,0.00
BUY & SAVE HAIR & BEAUTY SUPPLY,LOUISIANA,1,297.00,297.00,297.00,0.00
Infinite beauty (TX4715),TX,1,286.00,286.00,286.00,0.00
Hair & Beauty Supplies,OH,1,282.00,282.00,282.00,0.00
BEAUTY GIANT,GEORGIA,1,280.00,280.00,280.00,0.00
Hanan beauty supply (AL3006),AL,1,271.00,271.00,271.00,0.00
U SAVE BEAUTY OUTLET,AL,1,216.00,216.00,216.00,0.00
Dollar Plus Beauty Supplies,OH,1,210.00,210.00,210.00,0.00
99 CENTS PLUS,AR,1,193.00,193.00,193.00,0.00
HAIR EMPIRE,LOUISIANA,1,192.00,192.00,192.00,0.00
Essence Beauty,OH,1,182.00,182.00,182.00,0.00
Beauty masters beauty supply (AL2504),AL,1,180.00,180.00,180.00,0.00
Save more beauty supply (TX1202),TX,1,164.00,164.00,164.00,0.00
Bundles n wigs beauty supply,KENTUCKY,1,144.00,144.00,144.00,0.00
HAIR GALLERIA,MS,1,132.00,132.00,132.00,0.00
Queen hair beauty supply (AL1407),AL,1,102.00,102.00,102.00,0.00
FIVE STAR BEAUTY,LOUISIANA,1,78.00,78.00,78.00,0.00
